year,Last Px
1980,963.9899902
1981,875
1982,1046.540039
1983,1258.640015
1984,1211.569946
1985,1546.670044
1986,1895.949951
1987,1938.829956
1988,2168.570068
1989,2753.199951
1990,2633.659912
1991,3168.830078
1992,3301.110107
1993,3754.090088
1994,3834.439941
1995,5117.120117
1996,6448.259766
1997,7908.240234
1998,9181.429688
1999,11497.12012
2000,10786.84961
2001,10021.5
2002,8341.629883
2003,10453.91992
2004,10783.00977
2005,10717.5
2006,12463.15039
2007,13264.82031
2008,8776.389648
2009,10428.0498
2010,11577.50977
2011,12217.55957
2012,13104.13965
2013,16576.66016
2014,17823.07031
2015,17425.0293
2016,19762.59961
2017,24719.2207
2018,25413.2207
