,abortion,crime_rate,dowjones,incarceration
0,-0.44999999999999574,-22.700000000000045,171.54003899999998,30
1,-0.19000000000000483,-32.69999999999993,212.09997599999997,20
2,-0.23999999999999488,1.7999999999999545,-47.070068999999876,10
3,-0.07000000000000028,18.200000000000045,335.1000979999999,30
4,-0.6500000000000021,62.0,349.2799070000001,40
5,-0.21000000000000085,-7.600000000000023,42.880004999999755,20
6,0.6799999999999997,28.100000000000023,229.74011200000018,40
7,-0.39000000000000057,26.299999999999955,584.6298830000001,70
8,0.850000000000005,62.700000000000045,-119.54003899999998,30
9,-1.0900000000000034,28.600000000000023,535.1701659999999,30
10,-0.6099999999999994,-0.5,132.280029,30
11,-0.740000000000002,-10.600000000000023,452.9799810000004,30
12,-1.4699999999999989,-33.5,80.34985299999926,50
13,-1.3200000000000003,-29.100000000000023,1282.6801760000008,50
14,-0.019999999999999574,-47.89999999999998,1331.1396489999988,20
15,-0.5300000000000011,-25.600000000000023,1459.9804680000016,40
16,-0.33999999999999986,-43.39999999999998,1273.1894539999994,30
17,-0.07000000000000028,-44.60000000000002,2315.6904319999994,40
18,-0.03999999999999915,-16.5,-710.2705100000003,-20
19,-0.4399999999999977,-2.0,-765.3496099999993,0
20,-0.45000000000000284,-10.100000000000023,-1679.8701170000004,20
21,-0.39000000000000057,-18.599999999999966,2112.2900370000007,20
22,-0.5899999999999999,-12.600000000000023,329.0898500000003,10
23,-0.41000000000000014,5.800000000000011,-65.50977000000057,20
24,0.5500000000000007,10.300000000000011,1745.6503900000007,10
25,-0.8000000000000007,-7.5,801.6699199999985,0
26,-0.08999999999999986,-13.199999999999989,-4488.430661999999,0
27,-1.2699999999999996,-26.700000000000045,1651.6601520000004,-20
28,-0.9800000000000004,-27.399999999999977,1149.4599699999999,-20
29,-0.8999999999999986,-17.399999999999977,640.0497999999989,-20
30,-1.0,0.6999999999999886,886.5800799999997,-20
31,-1.1099999999999994,-8.699999999999989,3472.5205100000003,-10
32,-0.7600000000000016,-3.400000000000034,1246.4101499999997,-10
